Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
P;C.KLEIN IN 2 U EDT X 50 ML;;P10004089;88300196845;www.puigargentinasa.com;158,76;1;0;0;0
P;C.KLEIN IN 2 U F-MEN  EDT X 50 ML;;P10004025;88300196913;www.puigargentinasa.com;158,76;1;0;0;0
P;C.KLEIN IN 2 U F-MEN EDT X 100 ML;;P10004070;88300196883;www.puigargentinasa.com;227,25;1;0;0;0
P;C.KLEIN IN 2 U F-MEN EDT X 150 ML;;P10004044;88300196937;www.puigargentinasa.com;261,31;1;0;0;0
P;C.KLEIN MAN (EDT X 100+ DEO X75);;P10004106;031655666181;www.puigargentinasa.com;236,73;1;0;0;0
P;C.KLEIN MINI FRAGANCIAS TRAVEL X 4;;P10004107;031655657738;www.puigargentinasa.com;113,93;1;0;0;0
P;C.KLEIN OBSESSION EDP X 50 ML;;P10004047;88300103300;www.puigargentinasa.com;234,14;1;0;0;0
P;C.KLEIN OBSESSION F-MEN EDT X 75 ML;;P10004043;88300106509;www.puigargentinasa.com;215,15;1;0;0;0
P;C.KLEIN ONE EDT X 100 ML;;P10004048;88300107407;www.puigargentinasa.com;227,81;1;0;0;0
P;C.KLEIN ONE EDT X 200 ML;;P10004083;88300107438;www.puigargentinasa.com;278,43;1;0;0;0
P;C.KLEIN SECR.OBSES EDP X 50 ML;;P10004039;0031655687889;www.puigargentinasa.com;227,16;1;0;0;0
P;CABOCHARD EDT  C-VAP X 30 ML;;P10002152;7640111491309;www.beautygroup.com.ar;182,89;1;0;0;0
P;CABOTINE ( EDT X 30 ML+B.LOTION X 50 ML );;P30001102;7640111492573;www.beautygroup.com.ar;117,66;1;0;0;0
P;CABOTINE EDT C-VAP GRES X 100 ML;;P10002131;7640111494027;www.beautygroup.com.ar;295,43;1;0;0;0
P;CABOTINE EDT C-VAP X 50 ML;;P10002170;7640111494508;www.beautygroup.com.ar;200,79;1;0;0;0
P;CABOTINE FLEUR PROMO EDT C-VAP X 50 ML;;P10002158;7640111494553;www.beautygroup.com.ar;143,89;1;0;0;0
P;CABOTINE G SUMMER PROMO EDT C-VAP X 50ML;;P10002171;7640111491071;www.beautygroup.com.ar;143,89;1;0;0;0
P;CABOTINE PROMO EDT C-VAP X 30 ML;;P10002168;7640111494324;www.beautygroup.com.ar;117,66;1;0;0;0
P;CALIPSO PLUS TOAL SUPER ANAT C.LESS  X 8;;P30000949;7790770000531;WWW.ALGODONERAACONCAGUA .S.A;1,82;1;0;0;0
P;CALIPSO PLUS TOAL ULTRA DELG C.LESS X 8;;P30000950;7790770000548;WWW.ALGODONERAACONCAGUA .S.A;2,41;1;0;0;0
P;CALIPSO PROT ANAT C-ALOE X 20;;P30000799;7790770000784;WWW.ALGODONERAACONCAGUA .S.A;2,29;1;0;0;0
P;CALIPSO PROT COLA LESS C-ALAS X 20;;P10004333;7790770000814;WWW.ALGODONERAACONCAGUA .S.A;2,96;1;0;0;0
P;CALIPSO PROT DIARIO DUAL X 20;;P10004334;7790770000838;WWW.ALGODONERAACONCAGUA .S.A;3,22;1;0;0;0
P;CALIPSO PROT DIARIOS ANAT C-DESOD X 20;;P30000504;7790770000777;WWW.ALGODONERAACONCAGUA .S.A;2,29;1;0;0;0
P;CALIPSO TOAL ANAT NOCTURNA POCKET C-A X 8;;P30000505;7790770000555;WWW.ALGODONERAACONCAGUA .S.A;2,48;1;0;0;0
P;CALIPSO TOAL INCONT ACTIVA C-ALAS X 8;;P10004337;7790770001002;WWW.ALGODONERAACONCAGUA .S.A;3,09;1;0;0;0
P;CALIPSO TOAL POCKET C-ALAS X 8;;P10004338;7790770010226;WWW.ALGODONERAACONCAGUA .S.A;1,71;1;0;0;0
P;CALIPSO TOAL POCKET S-ALAS X 8;;P10004339;7790770010288;WWW.ALGODONERAACONCAGUA .S.A;1,44;1;0;0;0
P;CANNON MUSK COL X 250 ML;;9983057;7791600881566;CANNON;15,83;1;0;0;0
P;CANNON MUSK DEO AER X 250 ML;;P10001040;7791600880439;CANNON;12,42;1;0;0;0
P;CAPILATIS (SH PROT + EMULS ULTRAHID) X 1;;P10001645;7792640009170;www.capilatis.com.ar;10,41;1;0;0;0
P;CAPILATIS BIO REST. BALSAMO X 350 ML;;P30001161;7792640001778;www.capilatis.com.ar;23,06;1;0;0;0
P;CAPILATIS BR EXREMO (SH+AC+AMP) X 1;;P10001656;7792640009279;www.capilatis.com.ar;24,65;1;0;0;0
P;CAPILATIS BR EXTREMO (SHX420+AMPX10) X 1;;P10001799;7792640009323;www.capilatis.com.ar;17,83;1;0;0;0
P;CAPILATIS BR EXTREMO ACOND X 420 ML;;P10001652;7792640001419;www.capilatis.com.ar;19,93;1;0;0;0
P;CAPILATIS BR EXTREMO AMP X 10 ML;;P10001646;7792640004250;www.capilatis.com.ar;11,74;1;0;0;0
P;CAPILATIS BR EXTREMO AMP X 10 ML X 2;;P10001648;7792640004199;www.capilatis.com.ar;9,68;1;0;0;0
P;CAPILATIS BR EXTREMO AMP X 12;;P10001653;7792640004151;www.capilatis.com.ar;55,29;1;0;0;0
P;CAPILATIS BR EXTREMO SH X 420 ML;;P10001654;7792640001402;www.capilatis.com.ar;20,26;1;0;0;0
P;CAPILATIS BR EXTREMO SPRAY X 110 GR;;P10001655;7792640001433;www.capilatis.com.ar;29,20;1;0;0;0
P;CAPILATIS BRILLO EXT TRAT X 200 GR;;P10001533;7792640001426;www.capilatis.com.ar;14,06;1;0;0;0
P;CAPILATIS CENT-ASIAT CR REDUCTORA X 240 GR;;P10001657;7792640002614;www.capilatis.com.ar;17,78;1;0;0;0
P;CAPILATIS CTROL CASPA NORM-GRASO SH X 350ML;;P10001659;7792640001563;www.capilatis.com.ar;22,30;1;0;0;0
P;CAPILATIS CTROL CASPA NORM-SECO SH X 350 ML;;P10001660;7792640001570;www.capilatis.com.ar;24,60;1;0;0;0
P;CAPILATIS CTROL CASPA TRAT EXF X 150 GR;;P10001661;77979223;www.capilatis.com.ar;14,69;1;0;0;0
P;CAPILATIS CTROL CASPA TRAT EXF X 28;;P10001800;7792640001556;www.capilatis.com.ar;14,89;1;0;0;0
P;CAPILATIS E.O.N ENERG B-SPLASH X 130 ML;;P10001662;7792640005561;www.capilatis.com.ar;20,26;1;0;0;0
P;CAPILATIS E.O.N ENERG CR REDUCT X 200 GR;;P10001665;7792640005554;www.capilatis.com.ar;19,24;1;0;0;0
P;CAPILATIS E.O.N ENERG EMULS CORP X 200 GR;;P10001666;7792640005516;www.capilatis.com.ar;18,98;1;0;0;0
P;CAPILATIS E.O.N ENERG GEL EXF X 200 GR;;P10001669;7792640005509;www.capilatis.com.ar;17,97;1;0;0;0
P;CAPILATIS E.O.N RELAX B-SPLASH X 130 ML;;P10001663;7792640005578;www.capilatis.com.ar;20,26;1;0;0;0
P;CAPILATIS E.O.N RELAX CR MANOS-UÑAS X 100GR;;P10001664;7792640005585;www.capilatis.com.ar;14,30;1;0;0;0
P;CAPILATIS E.O.N RELAX EMULS CORP X 200 GR;;P10001667;7792640005547;www.capilatis.com.ar;18,98;1;0;0;0
P;CAPILATIS E.O.N RELAX GEL DUCHA X 200 GR;;P10001668;7792640005530;www.capilatis.com.ar;17,97;1;0;0;0
P;CAPILATIS E.O.N RELAX GEL REFR CORP X 200GR;;P10001670;7792640005523;www.capilatis.com.ar;16,76;1;0;0;0
P;CAPILATIS ENGROSADOR ACOND X 420 ML;;P10001671;7792640004533;www.capilatis.com.ar;19,93;1;0;0;0
P;CAPILATIS ENGROSADOR SH X 410 ML;;P10001672;7792640000191;www.capilatis.com.ar;20,26;1;0;0;0
P;CAPILATIS ENGROSADOR TRAT X 200 GR;;P10001673;7792640004540;www.capilatis.com.ar;14,06;1;0;0;0
